{'loss': 0.7192, 'grad_norm': 7.77891206741333, 'learning_rate': 1.9815409606084103e-05, 'epoch': 0.03}
{'loss': 0.3907, 'grad_norm': 8.626379013061523, 'learning_rate': 1.9630819212168198e-05, 'epoch': 0.06}
{'loss': 0.3524, 'grad_norm': 9.405441284179688, 'learning_rate': 1.94462288182523e-05, 'epoch': 0.08}
{'loss': 0.3295, 'grad_norm': 6.9115891456604, 'learning_rate': 1.92616384243364e-05, 'epoch': 0.11}
{'loss': 0.3082, 'grad_norm': 13.540325164794922, 'learning_rate': 1.90770480304205e-05, 'epoch': 0.14}
{'loss': 0.3029, 'grad_norm': 5.984230995178223, 'learning_rate': 1.8892457636504597e-05, 'epoch': 0.17}
{'loss': 0.274, 'grad_norm': 3.4404308795928955, 'learning_rate': 1.87078672425887e-05, 'epoch': 0.19}
{'loss': 0.2749, 'grad_norm': 7.515017032623291, 'learning_rate': 1.8523276848672797e-05, 'epoch': 0.22}
{'loss': 0.2463, 'grad_norm': 2.592867374420166, 'learning_rate': 1.8338686454756895e-05, 'epoch': 0.25}
{'loss': 0.2533, 'grad_norm': 10.560468673706055, 'learning_rate': 1.8154096060840996e-05, 'epoch': 0.28}
{'loss': 0.2397, 'grad_norm': 5.233031749725342, 'learning_rate': 1.7969505666925094e-05, 'epoch': 0.3}
{'loss': 0.2356, 'grad_norm': 23.571874618530273, 'learning_rate': 1.7784915273009192e-05, 'epoch': 0.33}
{'loss': 0.2342, 'grad_norm': 13.966317176818848, 'learning_rate': 1.7600324879093294e-05, 'epoch': 0.36}
{'loss': 0.2228, 'grad_norm': 2.952540159225464, 'learning_rate': 1.7415734485177392e-05, 'epoch': 0.39}
{'loss': 0.2146, 'grad_norm': 0.6145671606063843, 'learning_rate': 1.723114409126149e-05, 'epoch': 0.42}
{'loss': 0.221, 'grad_norm': 13.805475234985352, 'learning_rate': 1.704655369734559e-05, 'epoch': 0.44}
{'loss': 0.2226, 'grad_norm': 19.406253814697266, 'learning_rate': 1.6861963303429693e-05, 'epoch': 0.47}
{'loss': 0.226, 'grad_norm': 7.817664623260498, 'learning_rate': 1.6677372909513788e-05, 'epoch': 0.5}
{'loss': 0.2165, 'grad_norm': 2.6351430416107178, 'learning_rate': 1.649278251559789e-05, 'epoch': 0.53}
{'loss': 0.2183, 'grad_norm': 1.005041241645813, 'learning_rate': 1.630819212168199e-05, 'epoch': 0.55}
{'loss': 0.2092, 'grad_norm': 0.6154519319534302, 'learning_rate': 1.612360172776609e-05, 'epoch': 0.58}
{'loss': 0.2123, 'grad_norm': 4.800738334655762, 'learning_rate': 1.5939011333850187e-05, 'epoch': 0.61}
{'loss': 0.1899, 'grad_norm': 3.6742727756500244, 'learning_rate': 1.575442093993429e-05, 'epoch': 0.64}
{'loss': 0.206, 'grad_norm': 0.7281373739242554, 'learning_rate': 1.5569830546018387e-05, 'epoch': 0.66}
{'loss': 0.197, 'grad_norm': 12.17221736907959, 'learning_rate': 1.5385240152102485e-05, 'epoch': 0.69}
{'loss': 0.1957, 'grad_norm': 9.250969886779785, 'learning_rate': 1.5200649758186584e-05, 'epoch': 0.72}
{'loss': 0.1998, 'grad_norm': 2.4454047679901123, 'learning_rate': 1.5016059364270686e-05, 'epoch': 0.75}
{'loss': 0.1986, 'grad_norm': 13.022629737854004, 'learning_rate': 1.4831468970354782e-05, 'epoch': 0.78}
{'loss': 0.1938, 'grad_norm': 8.238207817077637, 'learning_rate': 1.4646878576438884e-05, 'epoch': 0.8}
{'loss': 0.1951, 'grad_norm': 10.273967742919922, 'learning_rate': 1.4462288182522984e-05, 'epoch': 0.83}
{'loss': 0.1765, 'grad_norm': 1.2643375396728516, 'learning_rate': 1.4277697788607082e-05, 'epoch': 0.86}
{'loss': 0.1847, 'grad_norm': 19.990318298339844, 'learning_rate': 1.4093107394691182e-05, 'epoch': 0.89}
{'loss': 0.173, 'grad_norm': 9.308625221252441, 'learning_rate': 1.3908517000775281e-05, 'epoch': 0.91}
{'loss': 0.1765, 'grad_norm': 1.4860645532608032, 'learning_rate': 1.372392660685938e-05, 'epoch': 0.94}
{'loss': 0.1726, 'grad_norm': 7.276676654815674, 'learning_rate': 1.353933621294348e-05, 'epoch': 0.97}
{'loss': 0.1819, 'grad_norm': 0.5894792675971985, 'learning_rate': 1.3354745819027579e-05, 'epoch': 1.0}
{'loss': 0.1514, 'grad_norm': 0.4240451753139496, 'learning_rate': 1.3170155425111679e-05, 'epoch': 1.02}
{'loss': 0.1357, 'grad_norm': 2.891056776046753, 'learning_rate': 1.2985565031195777e-05, 'epoch': 1.05}
{'loss': 0.1363, 'grad_norm': 0.29561296105384827, 'learning_rate': 1.2800974637279877e-05, 'epoch': 1.08}
{'loss': 0.1434, 'grad_norm': 0.2669040560722351, 'learning_rate': 1.2616384243363977e-05, 'epoch': 1.11}
{'loss': 0.1351, 'grad_norm': 0.7238072156906128, 'learning_rate': 1.2431793849448075e-05, 'epoch': 1.14}
{'loss': 0.1346, 'grad_norm': 6.312023639678955, 'learning_rate': 1.2247203455532174e-05, 'epoch': 1.16}
