{'loss': 0.6578, 'grad_norm': 9.030455589294434, 'learning_rate': 1.94462288182523e-05, 'epoch': 0.03}
{'loss': 0.3281, 'grad_norm': 4.47367525100708, 'learning_rate': 1.8892457636504597e-05, 'epoch': 0.06}
{'loss': 0.3094, 'grad_norm': 4.931955337524414, 'learning_rate': 1.8338686454756895e-05, 'epoch': 0.08}
{'loss': 0.2749, 'grad_norm': 3.030515670776367, 'learning_rate': 1.7784915273009192e-05, 'epoch': 0.11}
{'loss': 0.2532, 'grad_norm': 11.464235305786133, 'learning_rate': 1.723114409126149e-05, 'epoch': 0.14}
{'loss': 0.2365, 'grad_norm': 11.621054649353027, 'learning_rate': 1.6677372909513788e-05, 'epoch': 0.17}
{'loss': 0.2284, 'grad_norm': 4.560460090637207, 'learning_rate': 1.612360172776609e-05, 'epoch': 0.19}
{'loss': 0.2202, 'grad_norm': 6.930695056915283, 'learning_rate': 1.5569830546018387e-05, 'epoch': 0.22}
{'loss': 0.1967, 'grad_norm': 8.779940605163574, 'learning_rate': 1.5016059364270686e-05, 'epoch': 0.25}
{'loss': 0.208, 'grad_norm': 15.417840003967285, 'learning_rate': 1.4462288182522984e-05, 'epoch': 0.28}
{'loss': 0.1882, 'grad_norm': 14.410137176513672, 'learning_rate': 1.3908517000775281e-05, 'epoch': 0.3}
{'loss': 0.1981, 'grad_norm': 13.567780494689941, 'learning_rate': 1.3354745819027579e-05, 'epoch': 0.33}
{'loss': 0.1973, 'grad_norm': 7.906511306762695, 'learning_rate': 1.2800974637279877e-05, 'epoch': 0.36}
{'loss': 0.1774, 'grad_norm': 9.605076789855957, 'learning_rate': 1.2247203455532174e-05, 'epoch': 0.39}
{'loss': 0.1798, 'grad_norm': 0.16565002501010895, 'learning_rate': 1.1693432273784472e-05, 'epoch': 0.42}
{'loss': 0.1641, 'grad_norm': 16.980985641479492, 'learning_rate': 1.1139661092036772e-05, 'epoch': 0.44}
{'loss': 0.1804, 'grad_norm': 14.595635414123535, 'learning_rate': 1.058588991028907e-05, 'epoch': 0.47}
{'loss': 0.1718, 'grad_norm': 16.60210418701172, 'learning_rate': 1.0032118728541367e-05, 'epoch': 0.5}
{'loss': 0.1624, 'grad_norm': 12.743252754211426, 'learning_rate': 9.478347546793666e-06, 'epoch': 0.53}
{'loss': 0.1646, 'grad_norm': 0.23435573279857635, 'learning_rate': 8.924576365045964e-06, 'epoch': 0.55}
{'loss': 0.1591, 'grad_norm': 9.28918170928955, 'learning_rate': 8.370805183298262e-06, 'epoch': 0.58}
{'loss': 0.1591, 'grad_norm': 3.474308729171753, 'learning_rate': 7.81703400155056e-06, 'epoch': 0.61}
{'loss': 0.147, 'grad_norm': 5.926502227783203, 'learning_rate': 7.263262819802858e-06, 'epoch': 0.64}
{'loss': 0.1577, 'grad_norm': 11.5430908203125, 'learning_rate': 6.7094916380551565e-06, 'epoch': 0.66}
{'loss': 0.1422, 'grad_norm': 0.08406782150268555, 'learning_rate': 6.155720456307455e-06, 'epoch': 0.69}
{'loss': 0.148, 'grad_norm': 1.1808046102523804, 'learning_rate': 5.601949274559753e-06, 'epoch': 0.72}
{'loss': 0.1444, 'grad_norm': 0.33955296874046326, 'learning_rate': 5.0481780928120504e-06, 'epoch': 0.75}
{'loss': 0.1421, 'grad_norm': 5.282058238983154, 'learning_rate': 4.494406911064348e-06, 'epoch': 0.78}
{'loss': 0.1434, 'grad_norm': 15.389333724975586, 'learning_rate': 3.940635729316647e-06, 'epoch': 0.8}
{'loss': 0.1418, 'grad_norm': 10.380572319030762, 'learning_rate': 3.386864547568945e-06, 'epoch': 0.83}
{'loss': 0.1174, 'grad_norm': 0.03940678387880325, 'learning_rate': 2.833093365821243e-06, 'epoch': 0.86}
{'loss': 0.1334, 'grad_norm': 19.223539352416992, 'learning_rate': 2.279322184073541e-06, 'epoch': 0.89}
{'loss': 0.125, 'grad_norm': 24.662519454956055, 'learning_rate': 1.725551002325839e-06, 'epoch': 0.91}
{'loss': 0.1296, 'grad_norm': 0.5788388848304749, 'learning_rate': 1.1717798205781373e-06, 'epoch': 0.94}
{'loss': 0.1204, 'grad_norm': 4.313518047332764, 'learning_rate': 6.180086388304353e-07, 'epoch': 0.97}
{'loss': 0.1355, 'grad_norm': 3.299274444580078, 'learning_rate': 6.423745708273343e-08, 'epoch': 1.0}
