{'loss': 0.6989, 'grad_norm': 7.752133369445801, 'learning_rate': 1.9815409606084103e-05, 'epoch': 0.03}
{'loss': 0.3596, 'grad_norm': 8.71823787689209, 'learning_rate': 1.9630819212168198e-05, 'epoch': 0.06}
{'loss': 0.3245, 'grad_norm': 8.097715377807617, 'learning_rate': 1.94462288182523e-05, 'epoch': 0.08}
{'loss': 0.2946, 'grad_norm': 8.931591033935547, 'learning_rate': 1.92616384243364e-05, 'epoch': 0.11}
{'loss': 0.2836, 'grad_norm': 10.208830833435059, 'learning_rate': 1.90770480304205e-05, 'epoch': 0.14}
{'loss': 0.262, 'grad_norm': 7.30897331237793, 'learning_rate': 1.8892457636504597e-05, 'epoch': 0.17}
{'loss': 0.2566, 'grad_norm': 2.560478448867798, 'learning_rate': 1.87078672425887e-05, 'epoch': 0.19}
{'loss': 0.2382, 'grad_norm': 9.677486419677734, 'learning_rate': 1.8523276848672797e-05, 'epoch': 0.22}
{'loss': 0.2245, 'grad_norm': 2.9525089263916016, 'learning_rate': 1.8338686454756895e-05, 'epoch': 0.25}
{'loss': 0.2239, 'grad_norm': 11.464771270751953, 'learning_rate': 1.8154096060840996e-05, 'epoch': 0.28}
{'loss': 0.2192, 'grad_norm': 7.75818395614624, 'learning_rate': 1.7969505666925094e-05, 'epoch': 0.3}
{'loss': 0.21, 'grad_norm': 9.51434326171875, 'learning_rate': 1.7784915273009192e-05, 'epoch': 0.33}
{'loss': 0.216, 'grad_norm': 8.358691215515137, 'learning_rate': 1.7600324879093294e-05, 'epoch': 0.36}
{'loss': 0.2039, 'grad_norm': 11.481156349182129, 'learning_rate': 1.7415734485177392e-05, 'epoch': 0.39}
{'loss': 0.1998, 'grad_norm': 0.7327097654342651, 'learning_rate': 1.723114409126149e-05, 'epoch': 0.42}
{'loss': 0.1874, 'grad_norm': 15.980306625366211, 'learning_rate': 1.704655369734559e-05, 'epoch': 0.44}
{'loss': 0.2013, 'grad_norm': 14.540940284729004, 'learning_rate': 1.6861963303429693e-05, 'epoch': 0.47}
{'loss': 0.1945, 'grad_norm': 13.841998100280762, 'learning_rate': 1.6677372909513788e-05, 'epoch': 0.5}
{'loss': 0.1838, 'grad_norm': 3.435079336166382, 'learning_rate': 1.649278251559789e-05, 'epoch': 0.53}
{'loss': 0.1925, 'grad_norm': 0.6305411458015442, 'learning_rate': 1.630819212168199e-05, 'epoch': 0.55}
{'loss': 0.1858, 'grad_norm': 22.77199363708496, 'learning_rate': 1.612360172776609e-05, 'epoch': 0.58}
{'loss': 0.1808, 'grad_norm': 17.77372932434082, 'learning_rate': 1.5939011333850187e-05, 'epoch': 0.61}
{'loss': 0.1801, 'grad_norm': 6.5315632820129395, 'learning_rate': 1.575442093993429e-05, 'epoch': 0.64}
{'loss': 0.1813, 'grad_norm': 1.056308388710022, 'learning_rate': 1.5569830546018387e-05, 'epoch': 0.66}
{'loss': 0.1656, 'grad_norm': 9.097808837890625, 'learning_rate': 1.5385240152102485e-05, 'epoch': 0.69}
{'loss': 0.1814, 'grad_norm': 0.6556193828582764, 'learning_rate': 1.5200649758186584e-05, 'epoch': 0.72}
{'loss': 0.1704, 'grad_norm': 2.2477424144744873, 'learning_rate': 1.5016059364270686e-05, 'epoch': 0.75}
{'loss': 0.1731, 'grad_norm': 14.444396018981934, 'learning_rate': 1.4831468970354782e-05, 'epoch': 0.78}
{'loss': 0.165, 'grad_norm': 5.839064598083496, 'learning_rate': 1.4646878576438884e-05, 'epoch': 0.8}
{'loss': 0.1761, 'grad_norm': 11.540757179260254, 'learning_rate': 1.4462288182522984e-05, 'epoch': 0.83}
{'loss': 0.1545, 'grad_norm': 0.12436527013778687, 'learning_rate': 1.4277697788607082e-05, 'epoch': 0.86}
{'loss': 0.1597, 'grad_norm': 6.392119884490967, 'learning_rate': 1.4093107394691182e-05, 'epoch': 0.89}
{'loss': 0.1581, 'grad_norm': 12.501036643981934, 'learning_rate': 1.3908517000775281e-05, 'epoch': 0.91}
{'loss': 0.1563, 'grad_norm': 9.472282409667969, 'learning_rate': 1.372392660685938e-05, 'epoch': 0.94}
{'loss': 0.1564, 'grad_norm': 8.336684226989746, 'learning_rate': 1.353933621294348e-05, 'epoch': 0.97}
{'loss': 0.1642, 'grad_norm': 7.760069847106934, 'learning_rate': 1.3354745819027579e-05, 'epoch': 1.0}
{'loss': 0.1249, 'grad_norm': 0.7408928871154785, 'learning_rate': 1.3170155425111679e-05, 'epoch': 1.02}
{'loss': 0.1163, 'grad_norm': 1.1256271600723267, 'learning_rate': 1.2985565031195777e-05, 'epoch': 1.05}
{'loss': 0.1146, 'grad_norm': 0.19482487440109253, 'learning_rate': 1.2800974637279877e-05, 'epoch': 1.08}
{'loss': 0.115, 'grad_norm': 0.04129663109779358, 'learning_rate': 1.2616384243363977e-05, 'epoch': 1.11}
{'loss': 0.1214, 'grad_norm': 0.2092140018939972, 'learning_rate': 1.2431793849448075e-05, 'epoch': 1.14}
{'loss': 0.1149, 'grad_norm': 16.3295955657959, 'learning_rate': 1.2247203455532174e-05, 'epoch': 1.16}
{'loss': 0.1193, 'grad_norm': 8.684134483337402, 'learning_rate': 1.2062613061616274e-05, 'epoch': 1.19}
{'loss': 0.1222, 'grad_norm': 0.7532972097396851, 'learning_rate': 1.1878022667700372e-05, 'epoch': 1.22}
{'loss': 0.1246, 'grad_norm': 0.7052475810050964, 'learning_rate': 1.1693432273784472e-05, 'epoch': 1.25}
{'loss': 0.1117, 'grad_norm': 22.662914276123047, 'learning_rate': 1.1508841879868574e-05, 'epoch': 1.27}
{'loss': 0.1023, 'grad_norm': 6.816180229187012, 'learning_rate': 1.132425148595267e-05, 'epoch': 1.3}
{'loss': 0.1103, 'grad_norm': 0.09087689220905304, 'learning_rate': 1.1139661092036772e-05, 'epoch': 1.33}
{'loss': 0.11, 'grad_norm': 4.370126247406006, 'learning_rate': 1.0955070698120871e-05, 'epoch': 1.36}
{'loss': 0.1222, 'grad_norm': 0.16005590558052063, 'learning_rate': 1.0770480304204971e-05, 'epoch': 1.38}
{'loss': 0.1071, 'grad_norm': 19.325502395629883, 'learning_rate': 1.058588991028907e-05, 'epoch': 1.41}
{'loss': 0.1075, 'grad_norm': 4.899329662322998, 'learning_rate': 1.0401299516373169e-05, 'epoch': 1.44}
{'loss': 0.0987, 'grad_norm': 20.648162841796875, 'learning_rate': 1.0216709122457269e-05, 'epoch': 1.47}
{'loss': 0.1154, 'grad_norm': 27.335962295532227, 'learning_rate': 1.0032118728541367e-05, 'epoch': 1.5}
{'loss': 0.1075, 'grad_norm': 0.10447876155376434, 'learning_rate': 9.847528334625467e-06, 'epoch': 1.52}
{'loss': 0.1034, 'grad_norm': 2.5010275840759277, 'learning_rate': 9.662937940709567e-06, 'epoch': 1.55}
{'loss': 0.105, 'grad_norm': 6.355963706970215, 'learning_rate': 9.478347546793666e-06, 'epoch': 1.58}
{'loss': 0.111, 'grad_norm': 0.40308883786201477, 'learning_rate': 9.293757152877764e-06, 'epoch': 1.61}
{'loss': 0.113, 'grad_norm': 0.12858620285987854, 'learning_rate': 9.109166758961864e-06, 'epoch': 1.63}
{'loss': 0.1139, 'grad_norm': 13.39559555053711, 'learning_rate': 8.924576365045964e-06, 'epoch': 1.66}
{'loss': 0.1025, 'grad_norm': 11.132339477539062, 'learning_rate': 8.739985971130062e-06, 'epoch': 1.69}
{'loss': 0.1005, 'grad_norm': 1.7830625772476196, 'learning_rate': 8.555395577214164e-06, 'epoch': 1.72}
{'loss': 0.1047, 'grad_norm': 6.648383617401123, 'learning_rate': 8.370805183298262e-06, 'epoch': 1.74}
{'loss': 0.1095, 'grad_norm': 0.20283596217632294, 'learning_rate': 8.186214789382362e-06, 'epoch': 1.77}
{'loss': 0.1041, 'grad_norm': 25.573261260986328, 'learning_rate': 8.001624395466461e-06, 'epoch': 1.8}
{'loss': 0.1019, 'grad_norm': 3.62833309173584, 'learning_rate': 7.81703400155056e-06, 'epoch': 1.83}
{'loss': 0.098, 'grad_norm': 0.03338223695755005, 'learning_rate': 7.63244360763466e-06, 'epoch': 1.86}
{'loss': 0.1083, 'grad_norm': 16.011545181274414, 'learning_rate': 7.447853213718759e-06, 'epoch': 1.88}
{'loss': 0.0973, 'grad_norm': 17.061994552612305, 'learning_rate': 7.263262819802858e-06, 'epoch': 1.91}
{'loss': 0.1013, 'grad_norm': 6.638552188873291, 'learning_rate': 7.078672425886958e-06, 'epoch': 1.94}
{'loss': 0.1061, 'grad_norm': 40.27712631225586, 'learning_rate': 6.894082031971057e-06, 'epoch': 1.97}
{'loss': 0.1026, 'grad_norm': 0.5768480896949768, 'learning_rate': 6.7094916380551565e-06, 'epoch': 1.99}
{'loss': 0.064, 'grad_norm': 0.12489186227321625, 'learning_rate': 6.5249012441392554e-06, 'epoch': 2.02}
{'loss': 0.0588, 'grad_norm': 0.0591573528945446, 'learning_rate': 6.340310850223354e-06, 'epoch': 2.05}
{'loss': 0.0687, 'grad_norm': 5.382046699523926, 'learning_rate': 6.155720456307455e-06, 'epoch': 2.08}
{'loss': 0.0651, 'grad_norm': 0.056622449308633804, 'learning_rate': 5.971130062391554e-06, 'epoch': 2.1}
